,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0
-30.0,140.36,154.97,165.79,173.66,178.96,181.73,180.52,176.27,168.37,158.22,146.3,130.84,112.97
-25.0,150.95,166.81800000000004,179.5,188.7,194.51799999999994,198.01048979591837,197.56014285714286,194.20399999999995,186.15,175.89,163.49,148.54,130.64
-20.0,157.65,175.925,188.92,198.9,206.84516666666667,210.78677087198517,211.1504081632653,207.50843689447495,199.6033905053072,189.5143269230769,177.45486363636365,162.43121212121218,144.76875
-15.0,160.16,181.19,195.6,206.97,215.8,221.02,222.02,218.0333040542998,210.54716775907073,200.00080622155622,187.35006439393942,172.0977392191143,154.29058333333333
-10.0,163.6325,185.375,200.25333333333333,212.27,222.14,228.69,230.08,226.35,218.20873138957813,206.54662934243177,193.7065120967742,176.75,159.005
-5.0,167.58666666666664,189.45366666666666,203.9168333333334,215.43166666666664,225.8828809523809,233.73011904761907,235.06816666666668,231.0945,223.06529901960783,210.09971568627455,195.60401960784318,178.44400000000002,160.82658333333336
0.0,164.63,187.32666666666668,203.16,215.73,226.53333333333336,233.89666666666668,234.64,229.91,222.2380991704374,209.5678523042273,195.55955690249073,176.7185873015873,159.0079166666667
5.0,161.58,183.44,199.43,211.25,220.9275,225.8038333333333,225.623,221.01,213.83920331465922,202.4483490447461,188.93568627450978,170.86,152.15
10.0,158.98,178.5,192.28,202.71383333333335,211.18131161236423,214.9376666666667,213.59916979316984,209.22554761904757,202.10408333333336,190.94625,177.09,159.23,140.07
15.0,151.64,169.08,181.29,190.521,197.76658020050124,200.86399999999995,198.86160654160653,193.90766666666667,186.65,175.34,161.25,143.63,124.86
20.0,140.12,155.61,167.2,174.84,181.06,183.66,181.22,175.55,167.87,155.79,141.04,124.18,106.21
25.0,124.77,137.73,147.43,155.22,160.04,161.46,159.11,153.86,145.35,132.7,117.81,101.31,84.12
30.0,104.28,116.27,124.16,131.75,135.4,135.55,134.0,127.43,118.41,105.59,90.8,74.72,65.41
